global_rank,program,program_priority,category_rank_for_program,merchant_or_category_target,monetization_status,first_content_angle,route_rule
1,Sovrn Commerce / VigLink,1,1,AI productivity software roundups,pending_account_or_merchant_approval,Best AI productivity software roundups for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
2,Sovrn Commerce / VigLink,1,2,creator tools and subscriptions,pending_account_or_merchant_approval,Best creator tools and subscriptions for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
3,Sovrn Commerce / VigLink,1,3,home office gear,pending_account_or_merchant_approval,Best home office gear for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
4,Sovrn Commerce / VigLink,1,4,small business operations tools,pending_account_or_merchant_approval,Best small business operations tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
5,Sovrn Commerce / VigLink,1,5,website/domain/hosting tools,pending_account_or_merchant_approval,Best website/domain/hosting tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
6,Sovrn Commerce / VigLink,1,6,email marketing tools,pending_account_or_merchant_approval,Best email marketing tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
7,Sovrn Commerce / VigLink,1,7,analytics/reporting tools,pending_account_or_merchant_approval,Best analytics/reporting tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
8,Sovrn Commerce / VigLink,1,8,online course/platform tools,pending_account_or_merchant_approval,Best online course/platform tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
9,Sovrn Commerce / VigLink,1,9,budget gadgets and accessories,pending_account_or_merchant_approval,Best budget gadgets and accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
10,Sovrn Commerce / VigLink,1,10,shopping comparison/deal pages,pending_account_or_merchant_approval,Best shopping comparison/deal pages for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
11,Skimlinks,2,1,software alternatives pages,pending_account_or_merchant_approval,Best software alternatives pages for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
12,Skimlinks,2,2,AI tool stack guides,pending_account_or_merchant_approval,Best AI tool stack guides for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
13,Skimlinks,2,3,lifestyle deal explainers,pending_account_or_merchant_approval,Best lifestyle deal explainers for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
14,Skimlinks,2,4,home organization guides,pending_account_or_merchant_approval,Best home organization guides for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
